Question Pack ID,Question ID,Sub-Sub Category,Category,Sub Cateogry,Difficulty Level,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Image link,Flash Card,Keywords
SG1,SAG17,Airlines & Airports,Society,General,L1,Which city is home to Logan Airport?,Dallas,Chicago,New York,Boston,D,,,
SG1,SAG18,Airlines & Airports,Society,General,L1,Which city is the home of Air Canada?,Vancouver,Ottawa,Toronto,Montreal,D,,,
SG1,SAG19,Airlines & Airports,Society,General,L1,Oakland Airport lies in which US State?,California,Florida,Texas,New York,A,,,
SG1,SAG20,Airlines & Airports,Society,General,L1,Tarbes airport can be found in which nation?,France,Italy,Spain,Mexico,A,,,
SG2,SAG21,Architecture & Infrastructure,Society,General,L1,Who designed the Burj Khalifa?,Frank Lloyd Wright,Antoni Gaudi,Adrian Smith,James Hoban,C,,,
SG2,SAG22,Architecture & Infrastructure,Society,General,L1,Taxis in Russia cannot be what?,Used on a Sunday,Ordered in advance,Stopped on the street,Used after 6pm,C,,,
SG2,SAG23,Architecture & Infrastructure,Society,General,L1,Frank Gehry was born in which country?,India,United Kingdom,Canada,Australia,C,,,
SG2,SAG24,Architecture & Infrastructure,Society,General,L1,Where is the Emirates Palace situated?,Abu Dubai,Madrid,Prague,New York,A,,,
SG2,SAG25,Architecture & Infrastructure,Society,General,L1,Who designed the Petronas Twin Towers?,Philip Johnson,Le Corbusier,Cesar Pelli,Daniel Libeskind,C,,,
SG2,SAG26,Asia,Society,General,L1,Seoul is which country's capital?,South Korea,Vietnam,Bahrain,North Korea,A,,,
SG2,SAG27,Asia,Society,General,L1,"In Japan, what is the Shinkansen?",A Mountain,Temple,A Shopping Mall,Bullet Train,D,,,
SG2,SAG28,Asia,Society,General,L1,What is the largest island in Asia?,Sumatra,Singapore,Honshu,Borneo,D,,,
SG2,SAG29,Asia,Society,General,L1,Amman is which country's capital city?,Jordan,Myanmar,Laos,Israel,A,,,
SG2,SAG30,Asia,Society,General,L1,Which of these countries is not in Asia?,South Korea,Japan,China,Kenya,D,,,
SG2,SAG31,Australia,Society,General,L1,What is the 'nickname' for Tasmania?,Little Island,The Australian Apple,Apple Island,Apple Isle,D,,,
SG2,SAG32,Australia,Society,General,L1,What is the largest city in Australia?,Perth,Melbourne,Sydney,Adelaide,C,,,
SG2,SAG33,Australia,Society,General,L1,How do Australians refer to English people?,Jocks,Pomes,Yanks,Scots,B,,,
SG2,SAG34,Australia,Society,General,L1,What is the official language of Australia?,Spanish,French,English,Portuguese,C,,,
SG2,SAG35,Australia,Society,General,L1,What is Australia's national floral emblem?,Tulip,Rose,The Golden Wattle,Bush,C,,,
SG2,SAG36,Beneath The Sea,Society,General,L1,At the southern most tip of Portugal what will you find?,Gulf of California,Gulf of Carpentaria,Gulf of Aden,Gulf of Cadiz,D,,,
SG2,SAG37,Beneath The Sea,Society,General,L1,What is a Tautog?,A fish,A dolphin,A crab,A clam,A,,,
SG2,SAG38,Beneath The Sea,Society,General,L1,A shrimp is what?,A decapod,a monopod,A duopod,A triopod,A,,,
SG2,SAG39,Beneath The Sea,Society,General,L1,What are Basalts?,None of these,Volcanic ash in the ocean,Volcanic erruptions in the sea,Volcanic rocks on the seabed,D,,,
SG2,SAG40,Beneath The Sea,Society,General,L1,What is a Bluefin?,Haddock,Tuna,Mackrel,Shark,B,,,
SG3,SAG41,Britain,Society,General,L1,What is the capital city of England?,Liverpool,Manchester,Birmingham,London,D,,,
SG3,SAG42,Britain,Society,General,L1,Who ruled England from 1135 to 1154?,Henry I,Henry II,John,Stephen,D,,,
SG3,SAG43,Britain,Society,General,L1,Name the low-lying area of East Anglia,Fens,Shallows,Wash,Ranges,A,,,
SG3,SAG44,Britain,Society,General,L1,Which of these is NOT native to Britain?,Bluetit,Okapi,Beetle,Caterpillar,B,,,
SG3,SAG45,Britain,Society,General,L1,Matlock is the Admin Centre for which D?,Durham,Devon,Derbyshire,Dumfriesshire,C,,,
SG3,SAG46,Capital Cities,Society,General,L1,What is the capital of Italy?,Rome,Turin,Florence,Naples,A,,,
SG3,SAG47,Capital Cities,Society,General,L1,What is the capital of Egypt?,Cairo,Alexandria,Port Said,Suez,A,,,
SG3,SAG48,Capital Cities,Society,General,L1,What is the capital of Wales?,Swansea,Cardiff,Aberystwyth,Barry,B,,,
SG3,SAG49,Capital Cities,Society,General,L1,What is the capital of Alabama?,WestPoint,Montgomery,Alabama City,Dallas,B,,,
SG3,SAG50,Capital Cities,Society,General,L1,What is the capital of Florida?,Jackson,Miami,Tallahassee,Orlando,C,,,
SG3,SAG51,Cities,Society,General,L1,Which city was capital of England before it was moved to London?,Winchester,Bristol,Chester,Chelmsford,A,,,
SG3,SAG52,Cities,Society,General,L1,Which European capital is nicknamed the city of a hundred spires?,Prague,Paris,Barcelona,Budapest,A,,,
SG3,SAG53,Cities,Society,General,L1,Which of these African capital cities lies on the Mediterranean?,Bloemfontein,Tripoli,Nairobi,Luanda,B,,,
SG3,SAG54,Cities,Society,General,L1,"Serbia officially become a country in 2006, what is its capital?",Zagreb,Belgrade,Warsaw,Athens,B,,,
SG3,SAG55,Cities,Society,General,L1,Which European capital has the nickname ´The Athens of the north´?,Berlin,Paris,Edinburgh,Helsinki,C,,,
SG3,SAG56,Continents & Countries,Society,General,L1,Libya is on which continent?,Africa,North America,South America,Europe,A,,,
SG3,SAG57,Continents & Countries,Society,General,L1,Chile is on which continent?,Asia,Australasia,North America,South America,D,,,
SG3,SAG58,Continents & Countries,Society,General,L1,There are how many continents?,11,7,9,3,B,,,
SG3,SAG59,Continents & Countries,Society,General,L1,A Japanese Shinkansen is a what?,Large Boat,River,Motorway,High Speed Train,D,,,
SG3,SAG60,Continents & Countries,Society,General,L1,French postboxes are what color?,Black,Yellow,White,Pink,B,,,
SG4,SAG61,Deserts,Society,General,L1,A dust devil is a what?,Snake,Lizard,Scorpion,Sand storm,D,,,
SG4,SAG62,Deserts,Society,General,L1,Cairo is in which desert?,Sahara,Gobi,Namib,Gibson,A,,,
SG4,SAG63,Deserts,Society,General,L1,Tuscon is in which desert?,Gibson,Gobi,Arabian,Sonora,D,,,
SG4,SAG64,Deserts,Society,General,L1,What is the best way to preserve meat to eat later in a desert environment?,Leave it in the shade,Put it in a ziplock with water.,There is no good way to preserve meat. Eat as much of it as you can and use the rest for bait.,Cut it into thin and narrow strips then dry it in the sun,D,,,
SG4,SAG65,Deserts,Society,General,L1,Approximately what percentage of Turkmenistand does the Karakum desert occupy?,70,60,80,50,A,,,
SG4,SAG66,Europe,Society,General,L1,What is Spain's second city?,Madrid,Barcelona,Valencia,Rome,B,,,
SG4,SAG67,Europe,Society,General,L1,What is Europe's busiest airport?,Heathrow,Frankfurt,Munich,Gatwick,A,,,
SG4,SAG68,Europe,Society,General,L1,What are the Pyrenees in Europe?,Mountains,Islands,A Tribe,Musical Instruments,A,,,
SG4,SAG69,Europe,Society,General,L1,What in Holland is a 'drop'?,Warm cornsnack,Slice of legal hash cake,Licorice sweet,Whisky shot,C,,,
SG4,SAG70,Europe,Society,General,L1,What is the capital of Serbia?,Kiev,Zagreb,Sarajevo,Belgrade,D,,,
SG4,SAG71,Explorers,Society,General,L1,Who was John Cabot?,A 15th century Italian explorer,A Victorian pioneer of archaeology,The U.S. President who won the Civil War and abolished slavery,An 18th and 19th century pioneer of vaccination and immunology,A,,,
SG4,SAG72,Explorers,Society,General,L1,Who was Marco Polo?,seer and healer,A 16th century French prophet,A 13th century Venetian explorer of China,A 14th century theologian who translated the bible into Latin,C,,,
SG4,SAG73,Explorers,Society,General,L1,Who was Leif Ericson?,An 11th century explorer who may have discovered the Americas,The last King of Sweden,A 16th century scientist and pioneer of magnetism,A Victorian pioneer of computer science,A,,,
SG4,SAG74,Explorers,Society,General,L1,"Who said ""Dr Livingstone I Presume""?",Leopold II of Belgium,David Linvingstone,Henry Morton Stanley,John Hanning Speke,C,,,
SG4,SAG75,Explorers,Society,General,L1,Who was the first to explore Germany?,Pytheas,Strabo,Eratosthenes,Herodotus,A,,,
SG4,SAG76,Geography by Numbers,Society,General,L1,How high in feet is K2?,108251,48251,68251,28251,D,,,
SG4,SAG77,Geography by Numbers,Society,General,L1,Spain has a population of…?,186 Million,146 million,86 Million,46 Million,D,,,
SG4,SAG78,Geography by Numbers,Society,General,L1,How deep is Lake Tanganyika?,"6,470m","1,470m",47m,470m,B,,,
SG4,SAG79,Geography by Numbers,Society,General,L1,How high is Mount Aconcagua?,"1,100ft","44,000ft","22,000 ft","66,000ft",C,,,
SG4,SAG80,Geography by Numbers,Society,General,L1,Iran has a population of…..?,33 Million,177 Million,77 Million,289 Million,C,,,
SG5,SAG81,Asia,Society,General,L2,Burma is now known by what name?,Lebanon,Uzbekistan,Myanmar,Jordan,C,,,
SG5,SAG82,Asia,Society,General,L2,Which is the capital of Azerbaijan?,Bishkek,Ashgabat,Astana,Baku,D,,,
SG5,SAG83,Asia,Society,General,L2,What is the unlucky number in China?,33,13,7,4,D,,,
SG5,SAG84,Asia,Society,General,L2,Which of these countries is in Asia?,Malaysia,Argentina,Colombia,Canada,A,,,
SG5,SAG85,Asia,Society,General,L2,Which of the following is a city state?,Taiwan,Singapore,Thailand,Vietnam,B,,,
SG5,SAG86,Asia,Society,General,L2,Colombo City is found in which country?,Russia,Bhutan,Tajikistan,Sri Lanka,D,,,
SG5,SAG87,Asia,Society,General,L2,Which island was formerly called Ceylon?,Bali,Singapore,Sri Lanka,Java,C,,,
SG5,SAG88,Asia,Society,General,L2,Which island was formerly called Formosa?,Taiwan,Sri Lanka,Bali,Java,A,,,
SG5,SAG89,Asia,Society,General,L2,Tokyo hosted the Summer Olympics in which year?,1960,1964,1956,1968,B,,,
SG5,SAG90,Europe,Society,General,L2,Mount Parnassus is in which country?,Greece,Turkey,Iraq,Saudi Arabia,A,,,
SG5,SAG91,Europe,Society,General,L2,Waterloo is in which London postcode?,SE11,SE1,S1,SE13,B,,,
SG5,SAG92,Europe,Society,General,L2,Since when has Malta been independent?,1694,1496,1964,1649,C,,,
SG5,SAG93,Europe,Society,General,L2,The Channel Tunnel opened in which year?,1964,1984,1974,1994,D,,,
SG5,SAG94,Europe,Society,General,L2,How many tourists visit Malta each year?,3.3 million,2.2 million,1.2 million,4.4 million,C,,,
SG5,SAG95,Europe,Society,General,L2,How much is Britain's annual EEC rebate?,3 billion euro,1.5 billion euro,4 billion euro,2 billion euro,D,,,
SG5,SAG96,Europe,Society,General,L2,In which city is the famous Prado museum?,Saint Petersburg,Madrid,Venice,Porto,B,,,
SG5,SAG97,Europe,Society,General,L2,What is the second biggest city in Norway?,Tromsø,Oslo,Trondheim,Bergen,D,,,
SG5,SAG98,Europe,Society,General,L2,What is the second biggest city in Croatia?,Split,Zagreb,Zadar,Sisak,A,,,
SG5,SAG99,Europe,Society,General,L2,In which part of Spain do the Pyrenees lie?,South east,South west,North west,North east,D,,,
SG5,SAG100,Europe,Society,General,L2,Within which country is Transylvania located?,Slovenia,Albania,Romania,Bulgaria,C,,,
SG6,SAG101,Europe,Society,General,L2,The Kola Peninsula forms part of which country?,Russia,Sweden,Ukraine,The Netherlands,A,,,
SG6,SAG102,Europe,Society,General,L2,Tedesco' is another word for which nationality?,Spanish,German,Italian,French,B,,,
SG6,SAG103,Europe,Society,General,L2,Ankara is the capital of which European country?,Cyprus,Slovenia,Russia,Turkey,D,,,
SG6,SAG104,Europe,Society,General,L2,In which year was Malta awarded the George Cross?,1939,1942,1945,1936,B,,,
SG6,SAG105,Europe,Society,General,L2,Which of these is one of France's chief products?,Steel,Wine,Gold,Tobacco,B,,,
SG6,SAG106,Europe,Society,General,L2,The region of Aragon is in which European country?,Spain,Portugal,Belgium,Italy,A,,,
SG6,SAG107,Europe,Society,General,L2,How many European countries have just one syllable?,9,6,3,0,C,,,
SG6,SAG108,Europe,Society,General,L2,Which of these is the most common surname in France?,Matthew,Mark,Malcolm,Martin,D,,,
SG6,SAG109,Europe,Society,General,L2,"San Diego, California is twinned with which UK city?",London,Belfast,Cardiff,Edinburgh,D,,,
SG6,SAG110,Europe,Society,General,L2,How many countries share a land border with Portugal?,4,1,2,3,B,,,
SG6,SAG111,Europe,Society,General,L2,In which part of Europe does the Gulf of Bothnia lie?,North,South,West,East,A,,,
SG6,SAG112,Europe,Society,General,L2,Cape Finistere is in the north west of which country?,Spain,Italy,Portugal,France,A,,,
SG6,SAG113,Europe,Society,General,L2,"Belfast is in Northern Ireland, but where is Belfort?",Scotland,France,Republic of Ireland,Netherlands,B,,,
SG6,SAG114,Europe,Society,General,L2,What year did the Eurozone come into force officially?,1996,2002,2008,1978,B,,,
SG6,SAG115,Europe,Society,General,L2,Which of these European countries has no land borders?,Finland,Iceland,Norway,Sweden,B,,,
SG6,SAG116,Europe,Society,General,L2,"Flanders, Brussels and ____ are the regions of Belgium?",Antwerp,Wallonia,Ghent,Charleroi,B,,,
SG6,SAG117,Europe,Society,General,L2,Waterloo station is named after a victory in which war?,World War I,Napoleonic War,World War II,English Civil War,B,,,
SG6,SAG118,Europe,Society,General,L2,In which city in England is the National Railway Museum?,Manchester,York,Liverpool,London,D,,,
SG6,SAG119,Europe,Society,General,L2,A large public park area in Edinburgh is called... what?,The Shallows,The Meadows,The Leas,The Green Fields,B,,,
SG6,SAG120,Europe,Society,General,L2,In which part of Europe is the Pannonian Plain situated?,Iberian peninsula,Central Europe,Northern lowlands,Baltic states,B,,,
SG7,SAG121,Europe,Society,General,L2,Roughly what percentage of Europe is covered by mountains?,25,35,55,45,A,,,
SG7,SAG122,Europe,Society,General,L2,Which of these is not an official language in Switzerland?,Italian,German,French,Greek,D,,,
SG7,SAG123,Europe,Society,General,L2,Which of these countries would you enter via Orly airport?,Paris,Switzerland,Belgium,Spain,A,,,
SG7,SAG124,Europe,Society,General,L2,Romansch is a national language of which European country?,Italy,Cyprus,Russia,Switzerland,D,,,
SG7,SAG125,Europe,Society,General,L2,How many dialing codes are there within the European Union?,12,14,108,28,D,,,
SG7,SAG126,Europe,Society,General,L2,What percentage of energy consumption in Europe is now Gas?,0.01,0.23,0.51,0.19,D,,,
SG7,SAG127,Europe,Society,General,L2,Which of these colors does not appear in the flag of Italy?,Blue,Green,White,Red,A,,,
SG7,SAG128,Europe,Society,General,L2,Which of these colors does not appear in the flag of Russia,Blue,White,Black,Green,C,,,
SG7,SAG129,Europe,Society,General,L2,How many European countries are members of the Commonwealth?,4,2,5,3,D,,,
SG7,SAG130,Europe,Society,General,L2,Which of these colors does not appear in the flag of Hungary?,Blue,Green,White,Red,A,,,
SG7,SAG131,Geography General,Society,General,L2,In which country is Mount Ararat?,Switzerland,Ukraine,Turkey,Poland,C,,,
SG7,SAG132,Rivers of the World,Society,General,L2,Venice is on which river?,The Arno,Tagus,Severn,Niobrara,A,,,
SG7,SAG133,Rivers of the World,Society,General,L2,Where is the Maritsa river?,Poland,Bulgaria,Holland,Belgium,B,,,
SG7,SAG134,Rivers of the World,Society,General,L2,Okabanga is in which country?,Kenya,Botswana,India,Britain,B,,,
SG7,SAG135,Rivers of the World,Society,General,L2,Symonds Yat is on which river?,Dee,Wye,Severn,Thames,B,,,
SG7,SAG136,Rivers of the World,Society,General,L2,The Po River in which country?,Australia,Italy,Spain,Canada,B,,,
SG7,SAG137,Rivers of the World,Society,General,L2,Dresden is located on which river?,Rhone,Rhine,Seine,Elbe,D,,"Some characteristics of a group include: size, ethnic ratio, relative age, gender, and socio economic status.",
SG7,SAG138,Rivers of the World,Society,General,L2,What is the longest river in Italy?,Po,Tiber,Rhone,Rhine,A,,Norms play a huge role in our society today.,
SG7,SAG139,Rivers of the World,Society,General,L2,Which river joins Ganga at Allahabad?,Damodar,Indus,Godavari,Yamuna,D,,"A taboo in our culture would be incest or cannibalism. Although, some sick people (mostly on the ""Jerry Springer Show"") find nothing wrong with it!",
SG7,SAG140,Rivers of the World,Society,General,L2,The River Mersey is in which country?,France,England,Portugal,Eire,B,,An ascribed status is something that you do not earn-such as your sex or gender. An achieved status is one you earn-such as a college degree.,
SG8,SAG141,Rivers of the World,Society,General,L2,What is the longest river in the USA?,Missouri,Thames,Rheine,Rheine,A,,"Norms can be forms of etiquette (no burping at the dinner table), or laws (thou shall not murder).",
SG8,SAG142,Rivers of the World,Society,General,L2,Limerick is on the edge of which river?,Severn,Thames,Shannon,Newry,C,,,
SG8,SAG143,Rivers of the World,Society,General,L2,The Columbia River runs into which sea?,The Caspian Sea,The Atlantic,Gulf Of Mexico,Pacific Ocean,D,,,
SG8,SAG144,Social Sciences (Human Geography),Society,General,L2,The ancient city of Machu Picchu is in which country?,Argentina,Peru,Mexico,Canada,B,,,
SG8,SAG145,Social Sciences (Human Geography),Society,General,L2,The first Japanese railway ran from Tokyo to which other city?,Osaka,Yokohama,Sapporo,Fukuoka,B,,,
SG8,SAG146,Social Sciences (Human Geography),Society,General,L2,Most foreign residents in Japan come from which other country?,Thailand,United States,China,Indonesia,C,,,
SG8,SAG147,Social Sciences (Human Geography),Society,General,L2,"To the nearest million, what is the population of France?",84 million,74 million,67 million,43 million,C,,,
SG8,SAG148,Social Sciences (Human Geography),Society,General,L2,Which is Japan's northernmost prefecture?,Hokkaido,Kagoshima,Shiga,Toyama,A,,,
SG8,SAG149,Social Sciences (Human Geography),Society,General,L2,The world's largest reservoir by surface area is in which African country?,Ghana,Angola,Uganda,Tanzania,A,,,
SG8,SAG150,Social Sciences (Human Geography),Society,General,L2,The Tokyo-Yokohama conurbation has how many residents?,50 million,35 million,20 million,5 million,B,,,
SG8,SAG151,Social Sciences (Human Geography),Society,General,L2,Japan's population peaked in which year?,2000,2010,1980,1950,B,,,
SG8,SAG152,Social Sciences (Human Geography),Society,General,L2,"In South Sudan, only what percentage of adults can read and write?",0.47,0.27,0.07,0.17,B,,,
SG8,SAG153,Social Sciences (Human Geography),Society,General,L2,The pyramid at Chichen Itza was built by which ancient civilization?,Egyptian,Inca,Aztec,Maya,D,,,
SG8,SAG154,Social Sciences (Human Geography),Society,General,L2,How many stations are there on the London Underground network?,670,370,170,270,D,,,
SG8,SAG155,Social Sciences (Human Geography),Society,General,L2,The Pan-American highway links the USA with which other country?,Mexico,Colombia,Peru,Chile,D,,,
SG8,SAG156,A Beginner's on Archeology,Society,General,L2,Archeology is the study of human activity through the analysis of materials. Which of the following would NOT be considered an ancient archeological artifact?,A stone tool,A modern textbook on ancient medicine,The Parthenon,Ancient seeds,B,,"Archeological materials include anything that humans built or used. Anything written now would not qualify as an ancient artifact, at least not until modern times are considered ancient, at which point the book itself would indeed be an ancient artifact. 
  Archeologists have discovered tools that predate the entire homo genus. 
  This image, if you look closely, is of a very old book. It would probably be an artifact by now, but here it's used to point you to the answer to this question.",
SG8,SAG157,A Beginner's on Archeology,Society,General,L2,One of the most important archeological sites is Pompeii. What happened in 79 AD that caused so many artifacts to be preserved?,Tidal wave washed all the dirt away,Artists created mini-replicas,New king decreed city sacred,City was preserved under volcanic ash,D,,"When Mt. Vesuvius exploded in 79 AD, it instantly decimated the cities of Pompeii and Herculaneum, covering them with many layers of ash and pumice. Other cities were built over these layers, and it took hundreds and hundreds of years before archeologists uncovered the ancient ruins beneath. One of the most fascinating finds was spaces of air archeologists kept finding in the ash. Eventually, they filled the spaces with plaster, and the plaster casts revealed what had been there when the volcano exploded: humans, as they were when the volcano blew. Some where tucked under, as if hiding from the destruction, while others were simply left standing, immortalized forever. 
  This image portrays the makings of an at-home volcano.",
SG8,SAG158,A Beginner's on Archeology,Society,General,L2,"Can you name the famous slab, originally discovered in Egypt, that has text from three different languages inscribed on it?",Compass Rose,Rosetta Stone,Sawlumin inscription,Valun tablet,B,,"The Rosetta Stone was discovered by a French soldier in Egypt; it's actually a fragment of a much larger stone that contained a royal decree, which was inscribed in three languages: Egyptian hieroglyphics, Egyptian written script, and ancient Greek. This was a particularly rich find, because it allowed archeologists to study the languages in greater detail as they cross-referenced each other. 
  This image is a close-up of orbicular granodiorite; the Rosetta Stone is also made of granodiorite.",
SG8,SAG159,A Beginner's on Archeology,Society,General,L2,"Discovered in Shanxi, a province in Central China, were ancient artifacts made out terra cotta. What was their shape?",Birds,"Nothing in particular, just rocks",Warriors,Musical instruments,C,,"The Terracotta Warriors are part of a huge archeological find discovered by farmers in the 1970s. It is truly extraordinary in size and scope. The site was built around 210 BCE as a royal tomb for Qin Shi Huang, who was the first Emperor of China. He was buried with over 8,000 individual warrior figures, as well as hundreds of chariots and horses, all of them life-sized. It was likely believed that the Emperor would be protected in the afterlife by the terracotta army. Parts of the army are exhibited at the British Museum in London, and some of them have been part of a traveling exhibit. 
  This image is of an army, not of warriors but of ants.",
SG8,SAG160,A Beginner's on Archeology,Society,General,L2,"The Cave of Altamira, found by an amateur archeologist and his young daughter in 1879, revealed cave paintings of animals, handprints, and abstract shapes from the stone age. In what country would you find this awesome cave?",England,Spain,Egypt,Russia,B,,"The Cave of Altamira is located in Spain, not far from Basque territory. Altamira translate roughly to ""High Look"" and is over 1000 meters long. Archeologically it is quite interesting for many reasons, one of which is that after its Stone Age inhabitants moved on, it was sealed off, likely by a rock slide, from human contact for thousands of years, thereby essentially preserving the ancient paintings. 
  The cave is so popular with visitors that authorities had to close it to the public; carbon dioxide from people breathing in the cave was beginning to damage the cave paintings. In response, several replicas have been built for people to visit and study. 
  This is a rough sketch of a Basque-style hat.",
SG9,SAG161,Sociology - Study of Human Relations,Society,General,L3,What is the science that studies human society and social behavior?,Psychology,Sociology,Archaeology,Economics,B,,"Sociologists are mainly interested in social interaction- how people relate to one another, and influence each other's behavior. They tend to focus on groups rather than on individuals.",
SG9,SAG162,Sociology - Study of Human Relations,Society,General,L3,What is the meaning of 'social phenomenon'?,Beliefs,An observable fact or event.,Values,Life Style,B,,Sociologist observes facts and events to examine group behavior to the hidden meanings behind human actions.,
SG9,SAG163,Sociology - Study of Human Relations,Society,General,L3,What is the study of various aspects of past and present cultures?,Bureaucracy,Anthropology,Correlation,Conflict,B,,Anthropologists traditionally have concentrated on examining past cultures and present simple societies. Also on complex societies.,
SG9,SAG164,Sociology - Study of Human Relations,Society,General,L3,Name the study of the choices people make in an effort to satisfy their wants and needs.,Evolution,Exogamy,Economics,Dyad,C,,"Economists examine the processes by which goods and services are produced, distributed, and consumed. Growth and Stability are factors that economists examine.",
SG9,SAG165,Sociology - Study of Human Relations,Society,General,L3,What century did Sociology take root?,Seventeenth Century,Recently in 1975,Fifthteenth Century,Nineteenth Century,D,,"It took root primarily in France, Germany, and England in the nineteenth century.",
SG9,SAG166,Tiny Countries on the Map,Society,General,L3,"What small landlocked country touches Belgium, Germany and France?",Luxemberg,Luxemborg,Luxembourg,Luxemboerg,C,,"The land area of Luxembourg is 2,586 square kilometers. Luxembourg's capital city is Luxembourg, and the people there are called Luxembourgers. Eritrea is in Africa, and Macedonia is located East of Italy, near Greece. Denmark is not a small country, and is located more Northern than Luxembourg.",
SG9,SAG167,Tiny Countries on the Map,Society,General,L3,"Which small country is found completely in Italy, and is known as the smallest country in the world?",Vatikan City,Vatican City,Vatiken City,Vaticen City,B,,"The Vatican City, the smallest country in the world, is ruled by Pope and is found completely within Rome. The area of Vatican City is only .44 square kilometers.",
SG9,SAG168,Tiny Countries on the Map,Society,General,L3,"This next small country is an island in the Indian ocean near Madagascar. This country used to be ruled by France, but is now its an independent nation. It is, in full length, called Republic of ________. It's near Reunion island, which is owned by France.",Mauritania,Malawi,Mozambique,Mauritius,D,,"The area of Mauritius is 2,040 square kilometers. Mauritania, Mozambique, and Malawi are all part of the continent of Africa, while Mauritius is a chain of islands all on its own. Mauritius' capital is Port Louis.",
SG9,SAG169,Tiny Countries on the Map,Society,General,L3,What small country is a peninsula in the Persian Gulf? It is also the only country that starts with the letter Q.,Qanat,Qatar,Qinghai,Qiemo,B,,"Qatar is an oval shaped country in the Persian Gulf, attached to Saudi Arabia. The area is 11,437 square kilometers. Qanat is a series of underground tunnels in the Middle East, while Qinghai and Qiemo are places in China.",
SG9,SAG170,Tiny Countries on the Map,Society,General,L3,"This country, an island in the Persian Gulf, is very close to Saudi Arabia.",Eritrea,Cote D'Ivoire,Burkina Faso,Bahrain,D,,"Bahrain's area is 665 square kilometers, the third smallest in this quiz. Eritrea, Burkina Faso, and Cote D'Ivoire are all in Africa. Bahrain's capital city is Al Manamah.",
SG9,SAG171,Naturally Wonderful,Society,General,L3,"With its name coming from the Arabic word for ""desert"", this area is made up of hard, rocky, barren plateaus called ""hamada"". Sand dunes form only a small part of the area. Where am I?",Thar,Rub'al Khali,Sahara,Gobi,C,https://cdn.funtrivia.com/qphotos/71/359571_1.jpg,"The Sahara is the largest hot desert in the world. Located in North Africa, it covers 3,600,000 square miles, and is almost as large as the United States. An erg is a desert area that contains more than 48 square miles of wind-blown sand, and where sand covers more than 20% of the surface. While the Sahara contains many ergs, it is mainly a hamada desert.",
SG9,SAG172,Naturally Wonderful,Society,General,L3,"A UNESCO World Heritage Site in Quang Ninh province, Vietnam, this area consists of over three thousand monolithic limestone islands. Where am I?",China Beach,Da Nang,Ha Long Bay,Sea of Japan,C,https://cdn.funtrivia.com/qphotos/71/359571_2.jpg,"Ha Long Bay is literally translated as ""Bay of Descending Dragons"". Located in northeastern Vietnam, the monolithic islands have thick jungle vegetation. Some of the islands have permanent inhabitants, and they are popular tourist destinations; some of the islands are hollow with enormous caves.",
